Name,Prompt,Interruptor Title,Interruptor SubTitle,Outdoors,Indoors,High Energy,Low Energy,Relaxing,Stimulating,
Take a walk.,Go for a walk in the park!,Going for a short walk boosts energy.,Why aren’t you moving?,true,false,false,true,true,false,
Ride a bike.,Ride your bike!,Cycling improves circulation.,How many miles have you clocked this week?,true,false,true,false,true,true,
Breathing exercises.,Inhale. Hold. Exhale.,Deep breathing reduces stress.,How do you feel right now?,false,true,false,true,true,false,
Reading.,Pick up a book!,Reading before bed helps you sleep better.,How did you stimulate your brain today?,false,true,false,true,true,false,
Journaling.,Write it down!,Journaling is good for mental health.,What’s on your mind?,false,true,false,true,true,false,
Play a game.,Start a game!,Gaming encourages team-building.,How well do you work with others?,false,true,false,true,false,true,
Try a new recipe.,Research a new dinner recipe!,Expand your palate.,What haven’t you tried yet?,false,true,false,true,true,false,
Draw a picture.,Draw what you see!,Drawing is therapeutic.,What do you see right now? Capture it.,false,true,false,true,true,false,
Make some art.,Create some art!,“Every person is born an artist.” - Picasso,How do you express yourself?,false,true,false,true,true,false,
Gardening,Grow something!,Plants can help reduce anxiety.,What's your favorite flower?,true,false,false,true,true,false,
Join a local league.,Join a team!,Teamwork makes the dream work!,How competitive are you?,true,false,true,false,false,true,
Listen to music.,Get a groove going!,“Music has healing power.” - Elton John,What are the lyrics to your favorite song?,false,true,false,true,true,false,
Guided Meditation,Re-center and regroup.,Meditation enhances brain function.,Where is your happy place?,false,true,false,true,true,false,
Skateboarding,Go skate!,Tony Hawk still skateboards at 55.,What’s your excuse?,true,false,true,false,false,true,
Hiking,Plan a hike!,Hiking is the perfect exercise for nature lovers.,Where’s your sense of adventure?,true,false,false,true,false,true,
Painting,Paint a picture!,“Painting is poetry that is seen rather than felt” - Leonardo da Vinci,What color is your mood?,false,true,false,true,true,false,
Learn a new language,Learn a new language!,Spanish is the world’s 3rd most spoken language.,¿Habla español?,false,true,false,true,false,true,
Dance,Get up and dance!,Dancing is an expression of the soul.,Put on your favorite song!,false,true,true,false,false,true,
Singing,Sing a song!,Singing revitalizes your body and soul.,What’s your signature song?,false,true,true,false,false,true,
Take a nap,Take a nap!,A 20 minute nap can boost your mood.,Did you take a nap today?,false,true,false,true,true,false,
Yoga,Take a break and stretch!,Stretching increases circulation and keeps your muscles healthy.,Can you touch your toes?,false,true,false,true,true,false,
